id,Restaurant,Adress,Time,Price,City
157,Pang Pang - Bánh Tráng & Ăn Vặt,"161D/104/54A Lạc Long Quân, P. 3, Quận 11, TP. HCM",Đã đóng,10.000 - 30.000,HCM
158,Na Na Tea,"9/35 Võ Trường Toản, P. 2, Bình Thạnh, TP. HCM",Đã đóng,12.000 - 30.000,HCM
159,"Y Juice - Trà Sữa, Sinh Tố & Nước Ép Trái Cây","382/4 Sư Vạn Hạnh, P. 2, Quận 10, TP. HCM",Đã đóng,8.000 - 35.000,HCM
160,Duyên Duyên - Thế Giới Mì Trộn Chay,"59/20 Lý Thánh Tông, P. Tân Thới Hòa, Tân Phú, TP. HCM",Đã đóng,12.000 - 200.000,HCM
161,Quán Anh Bảy - Cháo Lòng & Bánh Hỏi Bình Định - Lạc Long Quân,"6Z Lạc Long Quân, P. 5, Quận 11, TP. HCM",Đã đóng,15.000 - 35.000,HCM
162,Lucifer Coffee,"20 Đoàn Kết, P. Bình Thọ, Thành Phố Thủ Đức, TP. HCM",Đã đóng,17.000 - 40.000,HCM
163,Minh Phú Coffee,"26D Đường Số 18B, P. Bình Hưng Hoà A, Bình Tân, TP. HCM",Đã đóng,23.000 - 70.000,HCM
164,Sữa Chua Trân Châu Cô Thỏ - Bờ Bao Tân Thắng,"E1.24 Chúng Cư Ruby, P. Sơn Kỳ (Đối Diện 175 Bờ Bao Tân Thắng), Tân Phú, TP. HCM",Đã đóng,5.000 - 50.000,HCM
165,Út Chảnh - Sinh Tố & Nước Ép,"Block A, Chung Cư Âu Cơ Tower, 659 Âu Cơ, P. Tân Thành, Tân Phú, TP. HCM",Đã đóng,28.000 - 30.000,HCM
166,Quỳnh Anh - Nui Xào & Mì Xào Bò,"43 Đường Số 19, Khu Phố 3, P. Linh Chiểu, Thành Phố Thủ Đức, TP. HCM",Đã đóng,20.000 - 35.000,HCM
167,Gia Phúc - Bún Bò Huế,"60 Bình Thới, P. 14, Quận 11, TP. HCM",Đã đóng,35.000 - 45.000,HCM
168,Bánh Canh Nhà Gõ,"1 Đường Số 42, P. Tân Quy, Quận 7, TP. HCM",Đã đóng,10.000 - 55.000,HCM
169,Bánh Mì Cắt - Bùi Viện,"183/31/4 Bùi Viện, P. Phạm Ngũ Lão, Quận 1, TP. HCM",Đã đóng,13.000 - 130.000,HCM
170,Lá Chuối Quán - Food & Drink,"9 Nguyễn Đăng Giai, P. Thảo Điền, Quận 2, TP. HCM",Đã đóng,20.000 - 350.000,HCM
171,"Bánh Mì, Cháo Gà & Ăn Vặt - 3H","273 Khánh Hội, P. 2, Quận 4, TP. HCM",Đã đóng,8.000 - 335.000,HCM
172,Tivi Home Made - Trà Sữa & Ăn Vặt,"27 Đề Thám, P. Cô Giang, Quận 1, TP. HCM",Đã đóng,15.000 - 30.000,HCM
173,Ăn Vặt Song Huy,"147B Đường Số 11, P. Trường Thọ, Thành Phố Thủ Đức, TP. HCM",Đã đóng,5.000 - 110.000,HCM
174,Ốc Phong - Nguyễn Kiệm,"812 Nguyễn Kiệm, P. 3, Gò Vấp, TP. HCM",Đã đóng,30.000 - 60.000,HCM
175,Sinh Tố - Nước Ép & Ăn Vặt Lido Food,"26A/22 Lạc Long Quân, P. 3, Quận 11, TP. HCM",Đã đóng,12.000 - 50.000,HCM
